ICD9 Codes,Patients,Average Age,Average Income,Chronic Patients,Average CP Age
0,8807,26.253661859884183,25124.764089595377,0,0
1,6429,27.2885363198009,29066.97736881373,5200,41.89865384615385
2,4715,29.92322375397667,30262.13839579224,1227,51.577017114914426
3,3374,34.40752815649081,30884.99710982659,350,58.71142857142857
4,2583,38.958188153310104,28576.01493280239,114,59.64035087719298
5,1943,41.424601132269686,26890.70766258854,33,63.09090909090909
6,1549,46.77856681730149,25081.2949586155,12,59.166666666666664
7,1159,49.912855910267474,23786.602912621358,5,61.2
8,957,53.30407523510972,19445.806378132118,0,0
9,777,55.447876447876446,19297.627586206898,0,0
10,594,56.17171717171717,17471.13368983957,0,0
11,475,57.682105263157894,15680.96881959911,0,0
12,382,58.56020942408377,13361.10455764075,0,0
13,350,60.73714285714286,12113.073313782992,0,0
14,242,63.30165289256198,13773.357142857143,0,0
15,189,59.86772486772487,17522.94054054054,0,0
16,177,63.824858757062145,7104.522988505747,0,0
17,129,63.093023255813954,8839.790697674418,0,0
18,107,60.61682242990654,14798.788461538461,0,0
19,89,62.359550561797754,10000.056818181818,0,0
20,74,62.41891891891892,7922.780821917808,0,0
21,66,59.78787878787879,10790.796875,0,0
22,47,60.95744680851064,3925.4222222222224,0,0
23,30,61.46666666666667,9178.48275862069,0,0
24,32,58.15625,7683.225806451613,0,0
25,31,63.225806451612904,6708.7,0,0
26,18,64.38888888888889,2272.9411764705883,0,0
27,11,63.54545454545455,12127.90909090909,0,0
28,14,61.92857142857143,3274.3571428571427,0,0
29,11,61.27272727272727,3146.4545454545455,0,0
30,13,72.0,3137.846153846154,0,0
31,5,55.8,1600.0,0,0
32,6,64.5,0.0,0,0
33,4,53.75,9333.333333333334,0,0
34,8,66.125,11047.25,0,0
35,2,64.0,0.0,0,0
36,4,57.5,2106.25,0,0
37,3,65.33333333333333,0.0,0,0
38,2,68.0,0.0,0,0
39,4,52.5,375.0,0,0
40,5,58.0,18698.8,0,0
41,1,67.0,0.0,0,0
42,1,73.0,0.0,0,0
43,1,74.0,0.0,0,0
44,2,60.0,0.0,0,0
45,1,72.0,0.0,0,0
46,0,0,0,0,0
47,1,55.0,0.0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,1,65.0,0.0,0,0
54,1,65.0,0.0,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,1,56.0,0.0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,0,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
